persona_id,date,transport_mode,distance_km,origin,destination
pt_001,2024-01-18,subway,3.9,station,home
pt_002,2024-01-18,subway,4.2,home,station
pt_002,2024-01-18,train,17.9,station,work
pt_002,2024-01-18,train,18.1,work,station
pt_002,2024-01-18,subway,3.7,station,home
car_001,2024-01-19,car,16.1,home,work
car_001,2024-01-19,car,16.2,work,home
car_002,2024-01-19,car,16.2,home,work
car_002,2024-01-19,car,15.9,work,home
hyb_001,2024-01-19,car,12.4,home,work
hyb_001,2024-01-19,car,11.8,work,home
hyb_002,2024-01-19,car,12.0,home,work
hyb_002,2024-01-19,car,12.0,work,home
pt_001,2024-01-19,subway,4.2,home,station
pt_001,2024-01-19,train,17.9,station,work
pt_001,2024-01-19,train,17.6,work,station
pt_001,2024-01-19,subway,3.9,station,home
pt_002,2024-01-19,subway,4.4,home,station
pt_002,2024-01-19,train,18.4,station,work
pt_002,2024-01-19,train,17.8,work,station
pt_002,2024-01-19,subway,4.2,station,home
car_001,2024-01-16,car,4.8,home,supermarket
car_001,2024-01-18,car,4.9,home,other
car_002,2024-01-16,car,5.3,home,supermarket
car_002,2024-01-18,car,4.8,home,other
car_001,2024-01-22,train,21.7,home,work
car_001,2024-01-22,train,22.3,work,home
car_002,2024-01-22,train,21.7,home,work
car_002,2024-01-22,train,22.3,work,home
hyb_001,2024-01-22,car,11.8,home,work
hyb_001,2024-01-22,car,12.3,work,home
hyb_002,2024-01-22,car,12.0,home,work
hyb_002,2024-01-22,car,11.9,work,home
pt_001,2024-01-22,subway,4.0,home,station
pt_001,2024-01-22,train,17.9,station,work
pt_001,2024-01-22,train,18.0,work,station
pt_001,2024-01-22,subway,3.9,station,home
pt_002,2024-01-22,subway,3.6,home,station
pt_002,2024-01-22,train,17.7,station,work
pt_002,2024-01-22,train,17.9,work,station
pt_002,2024-01-22,subway,4.1,station,home
car_001,2024-01-23,car,13.7,home,work
car_001,2024-01-23,car,14.2,work,home
car_002,2024-01-23,car,13.6,home,work
car_002,2024-01-23,car,13.9,work,home
hyb_001,2024-01-23,subway,3.6,home,station
hyb_001,2024-01-23,train,22.3,station,work
hyb_001,2024-01-23,train,22.4,work,station
hyb_001,2024-01-23,subway,3.8,station,home
hyb_002,2024-01-23,subway,3.9,home,station
hyb_002,2024-01-23,train,22.3,station,work
hyb_002,2024-01-23,train,21.7,work,station
hyb_002,2024-01-23,subway,4.1,station,home
pt_001,2024-01-23,subway,3.7,home,station
pt_001,2024-01-23,train,17.7,station,work
pt_001,2024-01-23,train,18.1,work,station
pt_001,2024-01-23,subway,4.2,station,home
pt_002,2024-01-23,subway,3.9,home,station
pt_002,2024-01-23,train,17.7,station,work
pt_002,2024-01-23,train,17.8,work,station
pt_002,2024-01-23,subway,3.6,station,home
car_001,2024-01-24,car,13.7,home,work
car_001,2024-01-24,car,13.9,work,home
car_002,2024-01-24,car,14.1,home,work
car_002,2024-01-24,car,14.0,work,home
hyb_001,2024-01-24,car,12.2,home,work
hyb_001,2024-01-24,car,12.3,work,home
hyb_002,2024-01-24,car,12.3,home,work
hyb_002,2024-01-24,car,12.0,work,home
pt_001,2024-01-24,subway,4.2,home,station
pt_001,2024-01-24,train,18.3,station,work
pt_001,2024-01-24,train,17.8,work,station
pt_001,2024-01-24,subway,3.9,station,home
pt_002,2024-01-24,subway,4.1,home,station
pt_002,2024-01-24,train,17.9,station,work
pt_002,2024-01-24,train,18.2,work,station
pt_002,2024-01-24,subway,3.9,station,home
car_001,2024-01-25,car,14.0,home,work
car_001,2024-01-25,car,13.8,work,home
car_002,2024-01-25,car,14.2,home,work
car_002,2024-01-25,car,13.9,work,home
hyb_001,2024-01-25,subway,3.9,home,station
hyb_001,2024-01-25,train,22.0,station,work
hyb_001,2024-01-25,train,21.8,work,station
hyb_001,2024-01-25,subway,4.4,station,home
hyb_002,2024-01-25,subway,4.1,home,station
hyb_002,2024-01-25,train,21.8,station,work
hyb_002,2024-01-25,train,22.1,work,station
hyb_002,2024-01-25,subway,3.6,station,home
pt_001,2024-01-25,subway,3.9,home,station
pt_001,2024-01-25,train,18.1,station,work
pt_001,2024-01-25,train,17.8,work,station
pt_001,2024-01-25,subway,4.0,station,home
pt_002,2024-01-25,subway,4.1,home,station
pt_002,2024-01-25,train,17.8,station,work
pt_002,2024-01-25,train,18.0,work,station
pt_002,2024-01-25,subway,4.4,station,home
car_001,2024-01-26,train,22.2,home,work
car_001,2024-01-26,train,22.0,work,home
car_002,2024-01-26,train,22.0,home,work
car_002,2024-01-26,train,21.8,work,home
hyb_001,2024-01-26,car,11.8,home,work
hyb_001,2024-01-26,car,12.0,work,home
hyb_002,2024-01-26,car,12.2,home,work
hyb_002,2024-01-26,car,12.4,work,home
pt_001,2024-01-26,subway,4.4,home,station
pt_001,2024-01-26,train,18.3,station,work
pt_001,2024-01-26,train,18.0,work,station
pt_001,2024-01-26,subway,3.9,station,home
pt_002,2024-01-26,subway,3.6,home,station
pt_002,2024-01-26,train,18.1,station,work
pt_002,2024-01-26,train,18.2,work,station
pt_002,2024-01-26,subway,4.2,station,home
car_001,2024-01-24,bicycle,3.3,home,park
car_002,2024-01-25,bicycle,2.2,home,other
car_001,2024-01-29,car,14.1,home,work
car_001,2024-01-29,car,13.8,work,home
car_002,2024-01-29,car,14.2,home,work
car_002,2024-01-29,car,14.4,work,home
hyb_001,2024-01-29,car,12.2,home,work
hyb_001,2024-01-29,car,11.8,work,home
hyb_002,2024-01-29,car,12.2,home,work
hyb_002,2024-01-29,car,12.2,work,home
pt_001,2024-01-29,subway,4.1,home,station
pt_001,2024-01-29,train,18.0,station,work
pt_001,2024-01-29,train,18.4,work,station
pt_001,2024-01-29,subway,4.2,station,home
pt_002,2024-01-29,subway,3.7,home,station
pt_002,2024-01-29,train,18.2,station,work
pt_002,2024-01-29,train,18.3,work,station
pt_002,2024-01-29,subway,3.7,station,home
car_001,2024-01-30,car,13.7,home,work
car_001,2024-01-30,car,14.1,work,home
car_002,2024-01-30,car,13.7,home,work
car_002,2024-01-30,car,13.9,work,home
hyb_001,2024-01-30,subway,4.4,home,station
hyb_001,2024-01-30,train,22.3,station,work
hyb_001,2024-01-30,train,21.7,work,station
hyb_001,2024-01-30,subway,4.2,station,home
hyb_002,2024-01-30,subway,3.8,home,station
hyb_002,2024-01-30,train,21.8,station,work
hyb_002,2024-01-30,train,22.3,work,station
hyb_002,2024-01-30,subway,4.3,station,home
pt_001,2024-01-30,subway,4.3,home,station
pt_001,2024-01-30,train,17.9,station,work
pt_001,2024-01-30,train,17.7,work,station
pt_001,2024-01-30,subway,3.7,station,home
pt_002,2024-01-30,subway,3.9,home,station
pt_002,2024-01-30,train,18.1,station,work
pt_002,2024-01-30,train,17.9,work,station
pt_002,2024-01-30,subway,4.3,station,home
car_001,2024-01-31,train,21.8,home,work
car_001,2024-01-31,train,22.1,work,home
car_002,2024-01-31,train,21.9,home,work
car_002,2024-01-31,train,22.1,work,home
hyb_001,2024-01-31,car,11.7,home,work
hyb_001,2024-01-31,car,12.2,work,home
hyb_002,2024-01-31,car,11.8,home,work
hyb_002,2024-01-31,car,12.3,work,home
pt_001,2024-01-31,subway,4.0,home,station
pt_001,2024-01-31,train,18.2,station,work
pt_001,2024-01-31,train,18.2,work,station
pt_001,2024-01-31,subway,3.8,station,home
pt_002,2024-01-31,subway,4.3,home,station
pt_002,2024-01-31,train,18.1,station,work
pt_002,2024-01-31,train,17.8,work,station
pt_002,2024-01-31,subway,3.6,station,home
car_001,2024-02-01,car,14.1,home,work
car_001,2024-02-01,car,13.7,work,home
car_002,2024-02-01,car,13.9,home,work
car_002,2024-02-01,car,13.9,work,home
hyb_001,2024-02-01,subway,4.0,home,station
hyb_001,2024-02-01,train,21.8,station,work
hyb_001,2024-02-01,train,21.9,work,station
hyb_001,2024-02-01,subway,3.9,station,home
hyb_002,2024-02-01,subway,4.0,home,station
hyb_002,2024-02-01,train,22.1,station,work
hyb_002,2024-02-01,train,22.0,work,station
hyb_002,2024-02-01,subway,4.0,station,home
pt_001,2024-02-01,subway,3.6,home,station
pt_001,2024-02-01,train,18.3,station,work
pt_001,2024-02-01,train,17.7,work,station
pt_001,2024-02-01,subway,4.1,station,home
pt_002,2024-02-01,subway,4.0,home,station
pt_002,2024-02-01,train,17.9,station,work
pt_002,2024-02-01,train,18.0,work,station
pt_002,2024-02-01,subway,4.4,station,home
car_001,2024-02-02,car,13.7,home,work
car_001,2024-02-02,car,14.2,work,home
car_002,2024-02-02,car,14.4,home,work
car_002,2024-02-02,car,13.8,work,home
hyb_001,2024-02-02,car,11.7,home,work
hyb_001,2024-02-02,car,12.0,work,home
hyb_002,2024-02-02,car,12.1,home,work
hyb_002,2024-02-02,car,11.7,work,home
pt_001,2024-02-02,subway,3.7,home,station
pt_001,2024-02-02,train,17.6,station,work
pt_001,2024-02-02,train,18.2,work,station
pt_001,2024-02-02,subway,4.2,station,home
pt_002,2024-02-02,subway,4.2,home,station
pt_002,2024-02-02,train,17.7,station,work
pt_002,2024-02-02,train,18.0,work,station
pt_002,2024-02-02,subway,4.4,station,home
car_001,2024-01-31,bus,5.0,home,supermarket
car_002,2024-02-01,bus,4.6,work,other
